reference,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,learning_rate,latent_dimensions,n_latent_samples,dropout,l2_reg,batch_size,encoder_layers_count,decoder_layers_count
raw_2,0.8783500272549553,0.0030027084467918,0.8896601509837501,0.0041495862164817,0.9780172413793105,0.0036764487304379,0.9317344006496052,0.0015575658613755,0.8468307245546411,0.0084654827613764,0.01,4,40,0.05,0.001,32,1,2
raw_5,0.9216072732277878,0.0021265727269162,0.92991530798782,0.0016122883910409,0.9883641586358928,0.0010912568144938,0.9582485251121238,0.001114148449967,0.8460802887061426,0.005431261597801,0.01,16,40,0.05,0.0001,256,4,1
raw_10,0.9202708263112857,0.0018655711407086,0.9284298523861836,0.0013804382990396,0.9886497064579256,0.00096397204655,0.957593422225764,0.0009772064356235,0.8503127895120459,0.0053287337040189,0.01,8,50,0.3,0.001,32,2,5
