Imputation,Hyperparameter,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,std_test_roc_auc,mean_test_roc_auc
knn,3,0.01,0.1,6.0,100.0,0.7767939041329244,0.017555397094813074,0.7805305195557155,0.01428365304361642,0.770085805472715,0.03190891818174045,0.7750107034301311,0.02054550358671519,0.01495394762496998,0.8506020733289505
knn,5,0.1,0.1,3.0,300.0,0.7679170925387215,0.019870339397112694,0.7615127024331582,0.01852564570160371,0.7802150368858893,0.02932212307213798,0.7705694001489205,0.02130810440371216,0.014595083423861245,0.8509651314796741
knn,10,0.01,0.1,3.0,300.0,0.7782346620541447,0.015532132222923538,0.7729497641053016,0.015613456450990965,0.7881873593888976,0.02357380274420653,0.7803269862784125,0.01636115785379551,0.012954831812996255,0.8613872481890692
knn,15,0.1,0.1,9.0,100.0,0.7825808501716592,0.011334970112371744,0.7871191405416164,0.014188772968877699,0.7751687333228693,0.01899044840721216,0.7809101001443228,0.011744888483408296,0.010116087460774838,0.8581437381947336
knn,20,0.1,0.1,3.0,100.0,0.768282359724297,0.009045393434660735,0.7617840278163968,0.01105118942075665,0.780956678700361,0.013365563493410662,0.771166012742391,0.009024766735518466,0.008867707885748257,0.8488467117190895
mice,20,0.01,0.1,3.0,300.0,0.7751598658175434,0.016325506574763483,0.7739005754370034,0.016673781782952247,0.7776984251556532,0.02381245238805903,0.7756355034558245,0.0173182255721704,0.012882533147825908,0.8552375431927735
mice,50,0.01,0.1,3.0,300.0,0.7753351285478418,0.0184838647205584,0.7728795447643002,0.020469731290258187,0.7802189609166537,0.020808472453913946,0.7764194635420928,0.01836535108745182,0.01585004999050356,0.8591712276415551
mice,100,0.1,0.1,3.0,100.0,0.778593377361952,0.015508504355993675,0.7776121398825835,0.015510897961508762,0.7805799717469785,0.023099396254668253,0.7789429970234414,0.01640862550096008,0.013374083107188076,0.8568610161381927
mice,200,0.1,0.1,6.0,200.0,0.7840340566606389,0.013041998397248008,0.7869321171913872,0.01090813045865046,0.7791686286820488,0.027993604478035602,0.7827682276881047,0.01566195799710061,0.013626388024253209,0.8609814522250202
mean,0,0.1,0.1,3.0,200.0,0.778241524034363,0.0067360848396370325,0.7790680584736631,0.009576576200581688,0.7769767015226564,0.010447832150778746,0.7779513440309924,0.006768646920822042,0.005179171312115131,0.8632573970700003
knn,3,0.01,0.1,3.0,200.0,0.7677400157387371,0.002191658195327023,0.7606499157932027,0.007585083227847162,0.781685536074639,0.011076795769143674,0.770915525481547,0.002398212621690152,0.006529164808810512,0.8514026608884802
knn,5,0.01,0.1,6.0,200.0,0.7604974096662076,0.010254629871106103,0.7627293937158257,0.011092427377110383,0.7563350106140418,0.009917375131782145,0.7595061278099152,0.010047102014817752,0.009303402811533901,0.8476671837427592
knn,10,0.1,0.1,3.0,300.0,0.7630357728375631,0.013843080620097453,0.7589710934232942,0.015880121383067367,0.7711769793222738,0.012587796351406258,0.7649778356047618,0.013060428760272478,0.009527108377557998,0.8501085012323226
knn,15,0.1,0.1,3.0,200.0,0.7688266443701226,0.0061908427475675185,0.7669432864899515,0.007360616027789978,0.7726419791912361,0.01866931864750308,0.76961348738661,0.008265839424805355,0.007845603021256873,0.8528699367041132
knn,20,0.1,0.1,3.0,200.0,0.7746184995737424,0.011022668944433519,0.7679156888885438,0.013853014089266022,0.7874754304583694,0.010344642061255134,0.7775081500046465,0.010093481116131588,0.01048243268227839,0.8591029546404956
mice,20,0.1,0.1,3.0,200.0,0.7791432225063939,0.008982438810697418,0.7751380289442835,0.007452317584107914,0.786378646119978,0.014271973614738243,0.7806808154867455,0.009891036462480298,0.008976252684078392,0.857415063925437
mice,50,0.1,0.1,3.0,300.0,0.781502557544757,0.015935541644347892,0.7778757049655077,0.005959955764073201,0.7878495426789318,0.03793657770220984,0.7824387753491708,0.020516916993005268,0.013610396551986249,0.8657511651897405
