Imputation,Hyperparameter,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,std_test_roc_auc,mean_test_roc_auc
mean,0,0.01,0.1,3.0,300.0,0.9202907328891581,0.002543912780133269,0.9303066696096426,0.002318367519496399,0.9863247548164902,0.00306490750740348,0.9574915072483033,0.0013751435983558945,0.009011745979803032,0.8726900134631075
knn,3,0.1,0.1,6.0,100.0,0.9185645063597819,0.0022107813446395983,0.9268751204595571,0.0015312730161431995,0.9885208949820823,0.0026532483383548823,0.9567028235754591,0.0012075223952056572,0.010424590569948121,0.8548320155548066
knn,5,0.01,0.1,3.0,300.0,0.919412477286493,0.0029407340417177304,0.9283830406499248,0.002317753986628379,0.987655659285976,0.0020953852368994674,0.9570998953743027,0.0015497938971542036,0.012046349873501496,0.8592476150469128
knn,10,0.01,0.1,6.0,100.0,0.9200181708055724,0.0016612462933861217,0.9289377425375938,0.0019165493137976801,0.9876889482266747,0.002124643297971683,0.957409440185937,0.0008797845043075864,0.010210693376781838,0.863654033080046
knn,15,0.01,0.1,6.0,100.0,0.9199878861296185,0.0011233941242272216,0.9288315129909375,0.0022481993369073026,0.987788737555394,0.0022115933411951077,0.9573984455545966,0.0005639167275087358,0.01045702291528872,0.865623393463103
knn,20,0.1,0.1,6.0,100.0,0.9200181708055724,0.002567776221833022,0.9293941103009253,0.00200462148273742,0.9871231469396203,0.0027116480679658357,0.9573853834437853,0.001387012224852481,0.011218959991965252,0.865637131204773
mice,20,0.01,0.1,6.0,100.0,0.9200181708055724,0.001992584391229071,0.9292346626085253,0.0021395022169240336,0.9873228584428482,0.0024059337384269523,0.9573942786176763,0.0010598096190753386,0.010756658220809342,0.8673492382776622
mice,50,0.1,0.1,6.0,100.0,0.9195336159903089,0.0017452488836128216,0.9290937256767597,0.002265400030352308,0.9869235018592875,0.0026787606908907713,0.9571304591327763,0.0009332311461345314,0.010107015484786675,0.8673371186964424
mice,100,0.01,0.1,6.0,100.0,0.9200181708055724,0.001992584391229071,0.9292346626085253,0.0021395022169240336,0.9873228584428482,0.0024059337384269523,0.9573942786176763,0.0010598096190753386,0.010756658220809342,0.8673492382776622
mice,200,0.01,0.1,6.0,100.0,0.9200181708055724,0.001992584391229071,0.9292346626085253,0.0021395022169240336,0.9873228584428482,0.0024059337384269523,0.9573942786176763,0.0010598096190753386,0.010756658220809342,0.8673492382776622
