Imputation,Hyperparameter,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,std_test_roc_auc,mean_test_roc_auc
mean,0,0.01,0.1,3.0,100.0,0.7730687540053099,0.029076772475567943,0.7682970498049049,0.030389359863281624,0.783358890105878,0.046811596566747424,0.7750215106180856,0.031233785829660007,0.02912106541333263,0.8560978680562471
knn,3,0.01,0.1,3.0,100.0,0.7724608624004394,0.032058247372483126,0.7654058863948112,0.02885875037746281,0.785797736400146,0.04457468904949072,0.7751421596373949,0.033894065738522695,0.02740795964127382,0.8555385398342683
knn,5,0.1,0.1,3.0,200.0,0.7754957429277671,0.020838843603021094,0.7745627557589809,0.023667915266628543,0.7779518072289155,0.027700520853604547,0.7760027859619318,0.021714510439148765,0.014727210656421819,0.855062896212951
knn,10,0.1,0.1,3.0,200.0,0.7788290762611005,0.022480165064913557,0.7780872102021007,0.029436200638877457,0.7821942314713399,0.030207144293599875,0.779600155482683,0.021770968218393753,0.02058957264014838,0.8526872891013089
knn,15,0.1,0.1,3.0,200.0,0.7667252586285819,0.025226676788661122,0.7643360171091614,0.02843324822714296,0.7725082146768893,0.031079359216359903,0.7680602176670925,0.025291572048386238,0.0209624880699182,0.8505593503490546
knn,20,0.01,0.1,3.0,100.0,0.7664057493362628,0.02352162433238695,0.76787128953269,0.029386763489528796,0.7658086893026652,0.03959145676801945,0.7660688355080253,0.024864778059585656,0.018758171298957117,0.8472767101463706
mice,20,0.1,0.1,3.0,200.0,0.7709557813787421,0.014083408128853177,0.7672781580448096,0.013005745055249044,0.7785943775100402,0.035492174326361245,0.7724035668993484,0.01772812202725088,0.008120735921970273,0.8524828791751025
mice,50,0.1,0.1,9.0,100.0,0.77852787695688,0.025460622178028386,0.7874713337915411,0.02585887146856586,0.7634538152610442,0.034049691044947435,0.7750159734424338,0.02681521412158996,0.027375769415516258,0.8524863309989268
mice,100,0.01,0.1,3.0,300.0,0.7836711526137508,0.025137415897861348,0.78691516434419,0.030102731619765663,0.779174881343556,0.028271062200245743,0.782745058487168,0.025305611942657902,0.02103124855988564,0.8594188102271344
mice,200,0.01,0.1,9.0,100.0,0.7821321981140712,0.016547603018619766,0.7844937227564961,0.027466333915131518,0.7803723986856517,0.031054805115359293,0.7817002078067533,0.016837460328591992,0.017146151354908584,0.8625053824111875
mean,0,0.01,0.1,3.0,100.0,0.7697583081570997,0.016764928991847824,0.7707253373801537,0.02274441798456967,0.7695180722891566,0.02672844087569384,0.7696896779449846,0.01702442532935934,0.01746281531767129,0.8499188600130549
knn,3,0.1,0.1,3.0,300.0,0.7776224480454088,0.01888918755988253,0.7797614994649258,0.02635637120419794,0.7762248995983937,0.039899866281183874,0.7770697828342661,0.021023387450568937,0.01839066972939365,0.8563374600329693
knn,5,0.01,0.1,3.0,300.0,0.7706536665751166,0.02427831451803768,0.7697866071164958,0.024028304440771118,0.7731945965680905,0.04011179212252592,0.770974816802595,0.02615958654411553,0.02517595911587595,0.848908427096817
knn,10,0.01,0.01,6.0,300.0,0.7709566968781469,0.01594309512428913,0.7709223516828454,0.019968921477721495,0.7719240598758671,0.019155753579953444,0.7712337370071288,0.015501981305209906,0.01773464999727996,0.8517877570889618
knn,15,0.1,0.1,3.0,300.0,0.7709631053739815,0.018773635392345542,0.7737898149943266,0.02477664117897258,0.767101131799927,0.014174431254163605,0.7702629659986887,0.016699559831280016,0.01747905192152986,0.8497004436478697
knn,20,0.01,0.1,3.0,300.0,0.7694333058683511,0.019063869406975173,0.769098046423354,0.021425388030153033,0.7712486308871851,0.03730282407012473,0.7695895153668785,0.0216226299187132,0.020771016238348594,0.8539462090787392
mice,20,0.1,0.1,3.0,300.0,0.7770081479447039,0.01636465478277663,0.778078320223057,0.020598397379119497,0.7761810879883169,0.026900343452574357,0.7767721461549999,0.017344427807691683,0.015942948111697698,0.8529527918837886
mice,50,0.1,0.1,6.0,100.0,0.76914126155818,0.024909510053697237,0.7716817735032168,0.030150365647859213,0.7658488499452354,0.02660316098647415,0.7684707621461324,0.024177361803195078,0.023363862931651967,0.8467231349640988
mice,100,0.01,0.1,3.0,300.0,0.770662821569166,0.01697852638226131,0.7720124739656469,0.02521069889659814,0.7701058780576853,0.0267347205589884,0.7705397857664721,0.016570941538079562,0.013272711218588805,0.8546645645944659
mice,200,0.01,0.01,6.0,300.0,0.7767151881351276,0.03167316767089965,0.7786008858318483,0.03742611019323116,0.7749762687112086,0.030096930396547924,0.7765171418661078,0.03057458212828532,0.021156051501392263,0.8507700222377113
mean,0,0.1,0.1,3.0,200.0,0.7667170953101362,0.018414673591168447,0.7649385148764638,0.026280666205489994,0.7719417742378467,0.010137920468062923,0.7681871579352725,0.014911873603656305,0.010382425232082028,0.8548933443193263
knn,3,0.1,0.1,3.0,200.0,0.7745839636913768,0.013931454684685422,0.7714006059873306,0.015878673642292573,0.7809905703561293,0.01829513780279851,0.7760445796615525,0.014146575699731932,0.009756730019092911,0.8604028197381671
knn,5,0.01,0.1,6.0,100.0,0.7724659606656581,0.01582656197352136,0.772278457872879,0.02074913484131795,0.7737544630595989,0.008154372060560343,0.7729362160810875,0.013678876111824102,0.01136058022218021,0.8573395587292868
knn,10,0.1,0.1,3.0,100.0,0.7703479576399395,0.013977379077096648,0.7686559200743088,0.012282723568847137,0.7737526320607891,0.02154038704303587,0.7710899158598512,0.014985106520546344,0.01394605458142615,0.8533553053190517
