Imputation,Hyperparameter,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,std_test_roc_auc,mean_test_roc_auc
mean,0,0.01,0.1,6.0,100.0,0.7887785390675564,0.020073204243402254,0.7927929398007818,0.019119058709397875,0.7822378972378972,0.031972526469320514,0.7872016875085645,0.02193620393901069,0.010596014797753638,0.8719183696403773
knn,3,0.1,0.1,3.0,100.0,0.760074318744839,0.02615570999547245,0.7531588759452275,0.029652459984290707,0.7749569349569349,0.025599699530492074,0.7637081211543232,0.02486251724329779,0.021328390411322225,0.8451609019176587
knn,5,0.01,0.1,3.0,100.0,0.7670092470670505,0.02050303374060449,0.7579791607795914,0.017468609040279547,0.7846198396198396,0.031206785975469074,0.7708804442595022,0.02206968399335249,0.01926276220344565,0.8480967383863136
knn,10,0.1,0.1,3.0,300.0,0.7708605798201174,0.013596178924113304,0.7692021775569641,0.01873785847472124,0.7749405999406,0.021009133493758467,0.7717913289446824,0.013468730574374987,0.012566366123500525,0.8537663020481553
knn,15,0.01,0.1,3.0,200.0,0.7689330536151345,0.014905164071435037,0.763419711527471,0.014827982447495652,0.77996435996436,0.03015772502756051,0.7712731836978117,0.017200174258695525,0.014351621391964298,0.8541419156863173
knn,20,0.01,0.1,3.0,200.0,0.7760680994785041,0.0134300681573082,0.7699630185046665,0.01595789705147439,0.7880501930501931,0.02155168084458044,0.7786896863718086,0.013707773457751413,0.009446436356106017,0.8625439279493333
mice,20,0.1,0.1,3.0,100.0,0.7708616957171871,0.012133170955117402,0.7650014292757423,0.012787005154694341,0.7822779922779922,0.018422999524748504,0.7734302813336791,0.01274270208357016,0.012848863540922413,0.852416424231096
mice,50,0.1,0.1,3.0,300.0,0.7754896928307333,0.01450848783692695,0.7768121501258157,0.016712638279138856,0.7738119988119989,0.026342845007940912,0.7750087696604224,0.015966120289829255,0.015284148567740267,0.8597601521925847
mice,100,0.1,0.01,6.0,300.0,0.7778059231816458,0.017161107723480205,0.7768794018970668,0.022266547737973062,0.7807395307395308,0.02610426493074673,0.7784283090580806,0.01723031558745785,0.014163670875980514,0.8568790773037878
mice,200,0.01,0.01,6.0,300.0,0.7718295504422672,0.02218196562137477,0.7715880091528812,0.022344723250401946,0.7726373626373626,0.03024517744872732,0.7719064850577375,0.02333913503100536,0.01372166960290041,0.8477940216936355
mean,0,0.01,0.1,3.0,200.0,0.7785673369488398,0.013100622219386758,0.7759536405062561,0.014845947369068005,0.7838342738342737,0.020140866836869983,0.7797103145097547,0.01349868234317548,0.013348152908525486,0.8601184446358191
knn,3,0.1,0.1,3.0,200.0,0.7729845039093594,0.026836531556342875,0.7653568938942128,0.020303969936693936,0.7869067419067419,0.045503923319525214,0.7756045025403325,0.030518696289270644,0.02438735815822218,0.8514136067417921
knn,5,0.1,0.1,3.0,100.0,0.7687388875250147,0.016068561680673978,0.7628219160479316,0.014789488311368098,0.7803460053460054,0.028631203152223495,0.7712394513092867,0.01793124250806539,0.018131084589689303,0.8476464331869737
knn,10,0.01,0.1,3.0,100.0,0.7695170397482537,0.014790272360989681,0.7619146819185649,0.016602762280670712,0.7845886545886545,0.020703211780159304,0.7729274611746901,0.014878030546156974,0.013456105828177255,0.8492645859827327
knn,15,0.01,0.1,3.0,200.0,0.769316178275716,0.0281520486698293,0.7639667971514864,0.022554000945950437,0.7792129492129491,0.046122825477067565,0.7711095711047469,0.031221229204224522,0.02369004906397362,0.8557469786813418
knn,20,0.1,0.1,6.0,100.0,0.7810788492869417,0.020158429053354594,0.7834367952061939,0.024523313749663763,0.778002673002673,0.029916809879194286,0.7803195139172923,0.021187264084806874,0.011287382351908515,0.8610337846438233
mice,20,0.1,0.1,9.0,300.0,0.7797282418669702,0.013812614821908473,0.7896028750689107,0.0166570745970326,0.7633709533709534,0.02579142798442439,0.7759563224765883,0.015517143089437933,0.017851481112574914,0.8545599407375469
mice,50,0.1,0.1,6.0,100.0,0.7783724269273401,0.020540616620200253,0.7800113300430533,0.019674137423485883,0.7757454707454707,0.029285879946381953,0.7776825615741736,0.021819198706249692,0.016574456750143147,0.8597555882497968
mice,100,0.01,0.1,6.0,200.0,0.7741327619940337,0.0184617657228776,0.7731754656646266,0.018517937832517303,0.7764538164538165,0.03307722868953687,0.7744416568224064,0.02086092948780736,0.01849570419200194,0.8547032233132621
mice,200,0.1,0.1,9.0,100.0,0.7770292588211662,0.017436739115901732,0.7822213155463368,0.020061280879189708,0.7683991683991683,0.020688985049375355,0.7751069036720236,0.017470379337659627,0.011093786423210862,0.854828932415805
mean,0,0.1,0.1,6.0,100.0,0.7762550561776875,0.008496354704619239,0.7801832128777805,0.011802172276503016,0.7699421965317919,0.022489767185225232,0.7747481846079072,0.010407121995517596,0.009857508941139088,0.8623853745441503
knn,3,0.01,0.1,3.0,200.0,0.7598772210485635,0.005299996221990252,0.7553449293727669,0.008438257155325656,0.7691714836223508,0.011061811248098137,0.7621076523950036,0.005332023419216309,0.0063017460661817255,0.8447275497527761
knn,5,0.01,0.1,3.0,200.0,0.7656560814413893,0.009361650367780076,0.7626075709799732,0.011963462522353174,0.7718689788053951,0.007953667607148478,0.7671661964243389,0.008358671713468975,0.008372478230876943,0.8492184054815617
knn,10,0.1,0.1,3.0,200.0,0.7779900892414201,0.0073834542810987825,0.7702049620714129,0.003031026688361254,0.7926782273603084,0.02475296624701615,0.7810507794022223,0.010969380168292587,0.0125598128281949,0.8620088793298724
knn,15,0.01,0.1,3.0,200.0,0.7743312467600515,0.008750884125538162,0.7699302959767189,0.009208537137301171,0.7826589595375723,0.009548756603748638,0.7762266468356283,0.00868129768819992,0.007665949584916104,0.8586842829617396
knn,20,0.1,0.1,3.0,200.0,0.7675845359464737,0.004449161367879473,0.7630625448525483,0.007288097323600654,0.7764932562620424,0.006448246832632547,0.7696761266472958,0.003744483642835761,0.006078264230143127,0.8548804328115363
mice,20,0.01,0.1,3.0,200.0,0.7700904677231455,0.005474009668430333,0.764466437798368,0.009022422410589809,0.7811175337186899,0.005394990366088638,0.7726508234605187,0.004106684077438095,0.006808121364186008,0.8522423173998568
mice,50,0.01,0.1,3.0,300.0,0.7698992759237686,0.009373797471790565,0.7703379439030744,0.010804661209712083,0.7695568400770714,0.020844899169631646,0.7697508374785568,0.011090105615946593,0.011999663245128394,0.8523170688862827
mice,100,0.1,0.1,3.0,200.0,0.7698974178887893,0.006330084950816558,0.770405821184354,0.011138607406160815,0.7695568400770714,0.013158667498238047,0.769837060564492,0.006130056942370875,0.004859678953899114,0.8508204337567162
mice,200,0.1,0.1,3.0,300.0,0.7776067766251769,0.0062737999437415,0.7780738901031576,0.010577179605418529,0.7772639691714837,0.012222544529598211,0.7775517967906213,0.006126266895026534,0.006721155348822235,0.8574856360682818
mean,0,0.01,0.1,3.0,300.0,0.7743282739040845,0.013840332279042904,0.772630253942341,0.0136433560654227,0.7776493256262043,0.01838437062331648,0.775061296152383,0.014486290592437648,0.015983612223524093,0.8620875927167484
knn,3,0.1,0.1,3.0,200.0,0.7629598868828305,0.009542161958114113,0.75896343373477,0.0075196504764051385,0.7707129094412332,0.01356980104944817,0.7647778634946701,0.010350636619646289,0.013282798483297284,0.8432863568618186
knn,5,0.1,0.1,3.0,200.0,0.7670046432294134,0.015802787508448147,0.761524643889047,0.017000902949060454,0.7780346820809249,0.021330793839072104,0.7695346766430753,0.015854772601162262,0.015689824517017968,0.8492116914650245
knn,10,0.1,0.1,3.0,200.0,0.7673911145051218,0.0066870155568298836,0.7632341333695063,0.014133198994840309,0.7764932562620424,0.022370597724393062,0.769430966554572,0.007693063231534357,0.00706676090367678,0.8521153344769236
knn,15,0.1,0.1,3.0,200.0,0.7581410731638434,0.010058311904720316,0.7558189044614256,0.014591325895808466,0.7633911368015415,0.00793497506049094,0.7594916635187343,0.008217145791590543,0.0033868330318752595,0.8461576854439965
knn,20,0.01,0.1,3.0,200.0,0.7592988147594866,0.0026553551873751864,0.7546270250990835,0.009483324808734456,0.7691714836223507,0.014074745562812874,0.7616541420437072,0.0030337019369278705,0.006066140293244487,0.8487569501502475
mice,20,0.01,0.1,3.0,200.0,0.765269610165681,0.008845106062722922,0.7630062945363646,0.013415477021712613,0.7703275529865126,0.015481548691021692,0.766469657589144,0.00843665549983171,0.012601309295405582,0.8543263386726249
mice,50,0.01,0.1,6.0,100.0,0.7774129835768288,0.011655472159922615,0.7778865133643518,0.013790323103427302,0.776878612716763,0.00882121244104786,0.7773635351589847,0.010918040927839557,0.008051613611282872,0.8623651679918177
mice,100,0.01,0.1,3.0,200.0,0.7758706287404566,0.014058039795440434,0.7730646851264137,0.012695737938396429,0.7811175337186899,0.020449324333597845,0.7769923099863062,0.015173197545027545,0.013166900242830048,0.860194069479378
mice,200,0.1,0.1,6.0,100.0,0.7700873090636805,0.011829248193558942,0.7692008723587671,0.010636263766290005,0.7718689788053951,0.018140427431121115,0.7704630497700609,0.012890276174910714,0.012580857547381826,0.857196487571709
mean,0,0.01,0.1,3.0,200.0,0.7819973200243016,0.015823668892314686,0.7787613987458057,0.02028067296608387,0.7885954135954136,0.014808683407050058,0.7835141124778788,0.014584776207481377,0.011290388402138158,0.8671415140270359
knn,3,0.1,0.1,3.0,300.0,0.7583916739060078,0.01771453581842324,0.7542868512150166,0.024271680123833655,0.7683535808535809,0.0240933719599415,0.7608297576017041,0.016248084098974686,0.010770061553706547,0.8416360537151784
knn,5,0.01,0.1,3.0,300.0,0.7685057432106335,0.020926286737774146,0.7655506300343711,0.02305054590640878,0.7751171626171626,0.032411593193176685,0.7699078596620597,0.021871719367776234,0.013766597120664296,0.8512046098746436
knn,10,0.1,0.1,3.0,300.0,0.7850327331777585,0.015492413015310715,0.7815213355448822,0.019250673128269186,0.7923013923013923,0.025451469778290416,0.7865299641876109,0.0158163633339195,0.012414418374325366,0.8646679909937486
knn,15,0.01,0.1,3.0,300.0,0.7799745629425224,0.01734420272653773,0.7774200352146827,0.018499659860381223,0.7852113477113477,0.027936510244162747,0.7810107580046444,0.01845929959886353,0.014031582101528172,0.8639591152217415
knn,20,0.1,0.1,3.0,300.0,0.7801383707791802,0.016644268638195063,0.7762317488628425,0.01695850617666771,0.7878844753844753,0.034611444251693775,0.7815636350064651,0.019319304992869598,0.011650072387834455,0.8660761273976763
mice,20,0.1,0.1,3.0,300.0,0.7673298470937595,0.01880420253161036,0.7680401178734468,0.02134117117846474,0.7666962416962417,0.019983514831826515,0.7672363165643333,0.018089833741076828,0.016105677937473736,0.855210567163429
mice,50,0.01,0.1,6.0,100.0,0.7749183799774019,0.01840762670860813,0.7774348517573862,0.018340581707771267,0.7707286832286833,0.02761189017176026,0.7738556302331977,0.019789207909889396,0.015230791907484432,0.85944677842826
mice,100,0.01,0.1,3.0,300.0,0.7631128599088127,0.021045912875878873,0.7652320881695301,0.023947632848543572,0.7599474474474476,0.023840237339323937,0.7623908055168757,0.020877352417724,0.01320208135489924,0.8475543610644619
