Imputation,Hyperparameter,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,std_test_roc_auc,mean_test_roc_auc
mean,0,0.1,0.1,3.0,300.0,0.8788308726981585,0.005642866558561244,0.8965011564994201,0.004788406411754935,0.9691683708854232,0.003773706784699452,0.931409367330434,0.003108059874313761,0.014843796292674655,0.8747668081313125
knn,3,0.1,0.1,3.0,300.0,0.8757101040832665,0.006286578892336271,0.8937985601481436,0.004827356141207392,0.9686972062667827,0.002756663304773469,0.9297369195871505,0.0034417729842518784,0.016641730891373923,0.8661457032159573
knn,5,0.1,0.1,3.0,300.0,0.8765885028022419,0.007387161961385608,0.8940535424957424,0.006152463344055216,0.969544751302616,0.003275011235283744,0.9302594982428228,0.004012551053754634,0.018033020019329923,0.8667003116429864
knn,10,0.01,0.1,3.0,300.0,0.8769890792634107,0.00654486452912377,0.8943019983149061,0.005702463754039707,0.9697331638006152,0.002414185838474841,0.930482221358262,0.003521699318303905,0.016754698292805407,0.8676326159760264
knn,15,0.1,0.1,3.0,300.0,0.8775497197758206,0.005853756614868042,0.8942966149664905,0.005387147280553668,0.9704878807817472,0.0020324057877234413,0.9308267030080698,0.003126244465869452,0.01715831250713189,0.8680496386936121
knn,20,0.1,0.1,3.0,300.0,0.8753090792634106,0.006549374734302082,0.8937538869420406,0.0050390690459138285,0.9682247079117244,0.003108728590044919,0.929494082751115,0.0036011116277916123,0.016689418243227394,0.8691447768784843
mice,20,0.1,0.1,3.0,300.0,0.8769893354683747,0.006617992197061821,0.8945687080033551,0.005264284199534994,0.9693561609730941,0.00317071162017062,0.9304546454462145,0.003622013392476406,0.015418261557509413,0.8695995409484347
mice,50,0.1,0.1,3.0,300.0,0.8769893354683747,0.006617992197061821,0.8945687080033551,0.005264284199534994,0.9693561609730941,0.00317071162017062,0.9304546454462145,0.003622013392476406,0.015418261557509413,0.8695995409484347
mice,100,0.1,0.1,3.0,300.0,0.8769893354683747,0.006617992197061821,0.8945687080033551,0.005264284199534994,0.9693561609730941,0.00317071162017062,0.9304546454462145,0.003622013392476406,0.015418261557509413,0.8695995409484347
mice,200,0.1,0.1,3.0,300.0,0.8769893354683747,0.006617992197061821,0.8945687080033551,0.005264284199534994,0.9693561609730941,0.00317071162017062,0.9304546454462145,0.003622013392476406,0.015418261557509413,0.8695995409484347
