imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum),average_normalised_mae
mean,0,1.7095063584293577,0.7262372536977175,0.6709007235582038,1.0452315587616618,0.4941356809207614,0.44938584526279285,1.637895205412509,1.9596269960462203,1.2095693311450655,1.2826917724834654,0.8208827438721791,0.833704421895992,1.4419894246927272,1.0985967166291273
knn,3,2.0287445887445887,0.7452050264550265,0.7652027027027027,1.050120981679917,0.4744186802558539,0.3240650406504064,1.4557988645579922,1.9226943942133816,1.1134920634920633,1.1418650793650795,0.8437551020408163,0.9230646955968845,1.2966514459665144,1.0834675896708637
knn,5,1.9193419913419913,0.7109457671957671,0.7193693693693693,1.0080193570687868,0.4339989759344598,0.3144390243902439,1.4555150040551528,1.9171790235081376,1.0921428571428569,1.0967261904761905,0.8170122448979591,0.8472314947279185,1.2878538812785387,1.0476750139528748
knn,10,1.8274805194805193,0.7087136243386243,0.6889076576576577,0.9846526097476669,0.4063370150927754,0.31814634146341464,1.4503041362530442,1.9305605786618452,1.103769841269841,1.0328125000000004,0.8107428571428572,0.8175594765008215,1.2908219178082192,1.028523775032099
knn,15,1.8087272727272723,0.6905864197530863,0.6537912912912912,0.9696969696969698,0.3996456408130755,0.32972357723577234,1.450770478507708,1.9198613622664265,1.1049206349206346,1.0262400793650797,0.8090122448979592,0.8269591479891911,1.2946727549467276,1.0218929134162456
knn,20,1.8101558441558445,0.6797619047619047,0.6370777027027028,0.9666436225371586,0.4034074561724332,0.33351219512195124,1.4544099756691022,1.927124773960218,1.1094642857142853,1.020275297619048,0.8112653061224491,0.8343533089598899,1.2968264840182648,1.0218675505780963
mice,20,1.7220614280346087,0.6710308443197985,0.5916498745236464,0.8524864165048257,0.4015060357349964,0.35735323813242736,1.304610084077862,1.9344464762362634,1.0763806827664049,1.0124420955424884,0.7723653397446014,0.8299150765328409,1.1507764993778722,0.9751556993483567
mice,50,1.7220614280346087,0.6710308443197985,0.5916498745236464,0.8524864165048257,0.4015060357349964,0.35735323813242736,1.304610084077862,1.9344464762362634,1.0763806827664049,1.0124420955424884,0.7723653397446014,0.8299150765328409,1.1507764993778722,0.9751556993483567
mice,100,1.7220614280346087,0.6710308443197985,0.5916498745236464,0.8524864165048257,0.4015060357349964,0.35735323813242736,1.304610084077862,1.9344464762362634,1.0763806827664049,1.0124420955424884,0.7723653397446014,0.8299150765328409,1.1507764993778722,0.9751556993483567
mice,200,1.7220614280346087,0.6710308443197985,0.5916498745236464,0.8524864165048257,0.4015060357349964,0.35735323813242736,1.304610084077862,1.9344464762362634,1.0763806827664049,1.0124420955424884,0.7723653397446014,0.8299150765328409,1.1507764993778722,0.9751556993483567
