imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum)
mean,0,23.026443332406632,16.04418019446452,5.177070303083222,7.792813640467131,107.86120576028725,22.430712335856107,0.05330925981230025,3.1689985381409365,0.5075097913050857,0.7374511252428667,1.4956378185413381,5.433004458928136,2.917851505078706
knn,3,26.880768469003765,16.43179487179487,5.9534005037783375,8.169985918326294,106.23163841807911,19.47756209559591,0.05689812067260142,3.6717791411042944,0.5418465967509768,0.6636943945741073,1.646624230850838,5.930382642998027,2.916272655634358
knn,5,25.47142008318479,15.654030769230769,5.531612090680102,7.79963789981895,102.453995157385,19.37783343769568,0.05256379821958458,3.5013496932515342,0.5196792103639729,0.6299461400359065,1.5786989178866964,5.638359763313609,2.848936170212766
knn,10,23.811467617349972,15.157353846153844,5.132493702770782,7.563065781532892,97.83280871670704,19.191884783969943,0.05032166172106824,3.281533742331288,0.49333744602097473,0.5978635547576302,1.5241718650541058,5.362919526627218,2.7614066193853435
knn,15,22.914398890869478,15.050010256410257,5.047858942065491,7.387929993964998,96.82397094430992,19.050519724483404,0.049651038575667675,3.231451942740286,0.483302488176023,0.586523040095751,1.4916885211118185,5.2674966469428,2.7239952718676124
knn,20,22.728015448603685,15.05923076923077,4.994049118387909,7.369613759806881,96.54064769975787,19.142523481527864,0.04935578635014837,3.204693251533742,0.4843954349167181,0.5805715140634351,1.4887791215786126,5.224144970414201,2.7163416075650124
mice,20,22.872969341801824,14.593635392741206,4.812714910557067,7.046175777376016,89.7676476781445,19.34021898226692,0.046005870503883536,3.136719793145638,0.4617827588460809,0.6659986503178354,1.4487583717535886,5.219466386223772,2.522393344531807
mice,50,22.872969341801824,14.593635392741206,4.812714910557067,7.046175777376016,89.7676476781445,19.34021898226692,0.046005870503883536,3.136719793145638,0.4617827588460809,0.6659986503178354,1.4487583717535886,5.219466386223772,2.522393344531807
mice,100,22.872969341801824,14.593635392741206,4.812714910557067,7.046175777376016,89.7676476781445,19.34021898226692,0.046005870503883536,3.136719793145638,0.4617827588460809,0.6659986503178354,1.4487583717535886,5.219466386223772,2.522393344531807
mice,200,22.872969341801824,14.593635392741206,4.812714910557067,7.046175777376016,89.7676476781445,19.34021898226692,0.046005870503883536,3.136719793145638,0.4617827588460809,0.6659986503178354,1.4487583717535886,5.219466386223772,2.522393344531807
knn,25,22.50780748663102,15.02432,4.933224181360202,7.348702474351237,95.76547215496367,19.1649442705072,0.049074658753709206,3.1800245398773,0.48550524367674275,0.5776732495511671,1.482539783577339,5.180981301775147,2.7048699763593382
knn,30,22.355773420479306,14.938605128205129,4.8779387069689335,7.322772078052707,95.54326069410816,19.104750573992902,0.048963798219584596,3.1565644171779135,0.48507505654945504,0.5750528625573509,1.4841812009335882,5.171817357001972,2.697379826635146
knn,35,22.215363721246074,14.916272527472527,4.880676502338971,7.306681610483663,95.4832756831546,19.14897217998032,0.048786095803306485,3.157107800175285,0.4836027143738433,0.5736804308797128,1.4792137855778849,5.161291293322063,2.7117190138466736
knn,40,22.169414735591207,14.902384615384616,4.859524559193954,7.312190706095353,95.48765133171912,19.211252348152787,0.048723738872403576,3.1473466257668705,0.48283929673041326,0.571573907839617,1.4749003819223423,5.1527692307692305,2.7123079196217494
knn,50,22.157611408199646,14.895421538461537,4.82154911838791,7.328412794206398,95.71106537530265,19.22871634314339,0.0486205341246291,3.1370797546012263,0.48168908081431216,0.573505685218432,1.4714743475493317,5.152410414201183,2.7158865248226953
knn,25,22.50780748663102,15.02432,4.933224181360202,7.348702474351237,95.76547215496367,19.1649442705072,0.049074658753709206,3.1800245398773,0.48550524367674275,0.5776732495511671,1.482539783577339,5.180981301775147,2.7048699763593382
knn,30,22.355773420479306,14.938605128205129,4.8779387069689335,7.322772078052707,95.54326069410816,19.104750573992902,0.048963798219584596,3.1565644171779135,0.48507505654945504,0.5750528625573509,1.4841812009335882,5.171817357001972,2.697379826635146
knn,35,22.215363721246074,14.916272527472527,4.880676502338971,7.306681610483663,95.4832756831546,19.14897217998032,0.048786095803306485,3.157107800175285,0.4836027143738433,0.5736804308797128,1.4792137855778849,5.161291293322063,2.7117190138466736
knn,40,22.169414735591207,14.902384615384616,4.859524559193954,7.312190706095353,95.48765133171912,19.211252348152787,0.048723738872403576,3.1473466257668705,0.48283929673041326,0.571573907839617,1.4749003819223423,5.1527692307692305,2.7123079196217494
knn,50,22.157611408199646,14.895421538461537,4.82154911838791,7.328412794206398,95.71106537530265,19.22871634314339,0.0486205341246291,3.1370797546012263,0.48168908081431216,0.573505685218432,1.4714743475493317,5.152410414201183,2.7158865248226953
knn,60,22.089839572192517,14.848235897435897,4.811702350965575,7.329199356266344,95.63128531073446,19.287271968273846,0.048627398615232444,3.135869120654396,0.480311536088834,0.5732036704568122,1.4696370676851263,5.1438023668639055,2.7105988967691093
knn,70,22.079823444529328,14.850065934065935,4.812432529686937,7.32761444952151,95.60604462123833,19.286580195008497,0.048640864773209,3.1263277826468006,0.4785370582532828,0.5713858254253228,1.465542056924616,5.136130177514794,2.710072610604525
knn,80,22.030666963755202,14.869653846153847,4.817419710327456,7.307136391068196,95.55984412832929,19.294057608015027,0.04872344213649852,3.124616564417178,0.4788595003084516,0.5720564033512866,1.465976448122215,5.137063905325443,2.7127364066193853
