imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum),average_normalised_mae
mean,0,4.505320965406343,1.42231357932128,1.846392061789828,2.0674716071164005,0.5825184858515028,0.44574663917780505,1.0324286110668355,2.174330354505791,2.0147583572307237,3.980337773726978,1.2345683180105744,2.02592509606956,1.201030315294311,1.8871647818898407
knn,3,4.495543845953681,1.323048702570127,1.7640350877192985,1.9576141158419638,0.5188039620742624,0.3608616780045351,0.9486590038314187,2.203529657477026,1.9157741237994665,3.7847575244089415,1.1982830315224682,1.9894028833837525,1.189041095890411,1.819181131729027
knn,5,4.483801717408275,1.3158597662771285,1.764812030075188,1.9567318757192176,0.5076783727951691,0.34882993197278916,0.9200510855683279,2.1848370927318306,1.9058983255392967,3.790680222706367,1.1819557344064386,1.9817048483361954,1.169132420091324,1.808613340279042
knn,10,4.475326893052303,1.2997588573548509,1.7629135338345863,1.9494016110471806,0.4980613379945972,0.32970068027210886,0.9189782886334625,2.1694235588972437,1.902956705385427,3.796986201888164,1.174076458752515,1.9756971629466118,1.160821917808219,1.8010848621436362
knn,15,4.476805230288837,1.3023104350872854,1.7620676691729324,1.9481319524357497,0.49163515016685205,0.3404807256235828,0.9177181779480647,2.1708228905597324,1.9065319052647454,3.810836762688616,1.1798095238095239,1.9755578448205384,1.1530289193302892,1.80274901439975
knn,20,4.47866169008587,1.3099177641748594,1.76531015037594,1.94421749136939,0.48887494040997936,0.3420272108843537,0.9161813537675623,2.1692982456140357,1.9123849751093673,3.823087630113775,1.1819597585513075,1.9735954541738214,1.143744292237443,1.8037893043744389
mice,20,4.4804964814165675,1.2799294943809014,1.7333692686729782,1.821308444281476,0.4717801897360881,0.3556188396057415,0.8140531999954341,2.1600316736154426,1.855510059409414,3.7689834912968374,1.1502535841729555,1.9507048070403747,1.0335393919950635,1.7596599173553287
mice,50,4.4804964814165675,1.2799294943809014,1.7333692686729782,1.821308444281476,0.4717801897360881,0.3556188396057415,0.8140531999954341,2.1600316736154426,1.855510059409414,3.7689834912968374,1.1502535841729555,1.9507048070403747,1.0335393919950635,1.7596599173553287
mice,100,4.4804964814165675,1.2799294943809014,1.7333692686729782,1.821308444281476,0.4717801897360881,0.3556188396057415,0.8140531999954341,2.1600316736154426,1.855510059409414,3.7689834912968374,1.1502535841729555,1.9507048070403747,1.0335393919950635,1.7596599173553287
mice,200,4.4804964814165675,1.2799294943809014,1.7333692686729782,1.821308444281476,0.4717801897360881,0.3556188396057415,0.8140531999954341,2.1600316736154426,1.855510059409414,3.7689834912968374,1.1502535841729555,1.9507048070403747,1.0335393919950635,1.7596599173553287
