imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum),average_normalised_mae
mean,0,1.123870970682719,0.5985853369632954,0.6311811298127412,0.6978629256279509,0.5098587925470071,0.45033199585409833,0.6079637984340083,0.802238131799596,0.7287374329243839,1.2340536303753367,0.5906727358752532,0.6762175043715438,0.5811704098191419,0.7102111380836212
knn,3,1.30925497346705,0.6667577338833793,0.7331349206349206,0.8466511791005523,0.5419191574681551,0.4559290849673202,0.6929343894675948,0.9421145657588175,0.8367214332126612,1.3686807080317696,0.6817173098843836,0.776419962995949,0.6670205066344994,0.8091735327313117
knn,5,1.2436846903709937,0.6380260270105366,0.6980158730158731,0.7922679056719558,0.5211309500512716,0.45420686274509814,0.6584364149305575,0.8926849843335745,0.7896059593428012,1.2909571440188667,0.6440392769907182,0.7436111036143425,0.6303787696019301,0.7690035355152707
knn,10,1.175310330317694,0.6065368048156345,0.6633237133237133,0.7445252914876829,0.503039618364743,0.45245852941176473,0.6272894965277793,0.8515726681127983,0.7496031746031744,1.2328372773847283,0.6162098680996579,0.7072262854709622,0.5937563329312425,0.7325914916039674
knn,15,1.1479034683747495,0.5982077971750951,0.648903719737053,0.726841705385582,0.4976906340496449,0.4476492156862745,0.6162633825231494,0.8340885353900539,0.73599275967697,1.2054539047464152,0.6086501221299463,0.696267708617586,0.5843474065138722,0.7190969507697225
knn,20,1.1367802791219581,0.5941411906127912,0.6417087542087543,0.7183264662049619,0.4946635586861495,0.44625485294117645,0.6125637478298624,0.8222613882863341,0.726865775549986,1.1969992681141748,0.6016061553492917,0.6892496334080014,0.5779613992762365,0.7122601899684369
knn,30,1.1290646842929613,0.588961135547481,0.6338924963924965,0.709367785862482,0.4927402301575498,0.4452257516339869,0.6023292824074087,0.8130352695428616,0.7206639283393668,1.1796237564717686,0.5964009119035988,0.6818497227694866,0.5720450341777241,0.7050153838076286
mice,20,1.4325891340958945,0.6051668825173948,0.6551486553434075,0.7010088951881449,0.4740725945616199,0.42409407126519605,0.5893309766239425,0.9121072830519387,0.7018610072405247,1.3138212195543644,0.6187508325103146,0.7279302830531661,0.5458128628588664,0.7462842075280597
mice,50,1.4325891340958945,0.6051668825173948,0.6551486553434075,0.7010088951881449,0.4740725945616199,0.42409407126519605,0.5893309766239425,0.9121072830519387,0.7018610072405247,1.3138212195543644,0.6187508325103146,0.7279302830531661,0.5458128628588664,0.7462842075280597
mice,100,1.4325891340958945,0.6051668825173948,0.6551486553434075,0.7010088951881449,0.4740725945616199,0.42409407126519605,0.5893309766239425,0.9121072830519387,0.7018610072405247,1.3138212195543644,0.6187508325103146,0.7279302830531661,0.5458128628588664,0.7462842075280597
mice,200,1.4325891340958945,0.6051668825173948,0.6551486553434075,0.7010088951881449,0.4740725945616199,0.42409407126519605,0.5893309766239425,0.9121072830519387,0.7018610072405247,1.3138212195543644,0.6187508325103146,0.7279302830531661,0.5458128628588664,0.7462842075280597
