imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum),average_normalised_mae
mean,0,2.065535942968091,0.7857947290255579,0.8448299268951759,1.3226497755559594,0.5157029134694276,0.4360302144249513,2.100968338809223,2.1299850676894274,1.548620651305574,1.0764703937361955,1.0359246103660742,0.9326097877327525,1.7127751862985616,1.269838272175152
knn,3,2.344980416408988,0.74000733406674,0.8117690058479533,1.1900826446280994,0.4186599370931168,0.41620370370370374,1.8652079189163635,2.113930885529158,1.4344671201814057,1.2831541218637998,1.113978494623656,1.0983216331800212,1.4452525252525255,1.252001210868887
knn,5,2.198330241187384,0.734140080674734,0.788157894736842,1.1860684769775678,0.4075817423743691,0.39333333333333337,1.856265984654735,2.1257019438444926,1.4310204081632651,1.0537634408602157,1.0604516129032258,1.0298232873396276,1.4744242424242426,1.2106971299595413
knn,10,2.1488249845392704,0.7123579024569123,0.7975877192982456,1.1932113341204251,0.4116908053543999,0.35791666666666666,1.849531116794547,2.09476241900648,1.4185714285714284,0.9777777777777782,1.042548387096774,0.9860808520939243,1.4884848484848485,1.1907189417124384
knn,15,2.1385693671407955,0.7144114411441145,0.7918128654970762,1.1885871704053523,0.40187623436471365,0.36361111111111116,1.8519465757317461,2.0888768898488124,1.409160997732426,0.9203106332138593,1.0521290322580645,0.9975227951262812,1.5143030303030303,1.187162934144414
knn,20,2.111641929499072,0.7089108910891088,0.7751096491228072,1.178925619834711,0.39853796357252574,0.3655555555555556,1.8553282182438222,2.0949514038876895,1.4118707482993194,0.921057347670251,1.0525483870967742,1.0040305010893247,1.5247575757575755,1.1848635223629644
knn,30,2.0847866419294996,0.7153648698203153,0.7822733918128655,1.1680637544273906,0.3931625338307365,0.3703703703703704,1.8620157241640658,2.098722102231822,1.4215419501133784,0.906451612903226,1.0479784946236559,0.9979706285806506,1.5307070707070705,1.1830314727319267
mice,20,2.09389468721508,0.667232849044784,0.7507051439714274,0.9753211353981271,0.3955192919952718,0.36699217765345,1.6483609826598202,2.1055105544278425,1.339680994136588,0.9283447311272973,1.001675520267724,1.023825727274052,1.34486225097032,1.126302003549368
mice,50,2.09389468721508,0.667232849044784,0.7507051439714274,0.9753211353981271,0.3955192919952718,0.36699217765345,1.6483609826598202,2.1055105544278425,1.339680994136588,0.9283447311272973,1.001675520267724,1.023825727274052,1.34486225097032,1.126302003549368
mice,100,2.09389468721508,0.667232849044784,0.7507051439714274,0.9753211353981271,0.3955192919952718,0.36699217765345,1.6483609826598202,2.1055105544278425,1.339680994136588,0.9283447311272973,1.001675520267724,1.023825727274052,1.34486225097032,1.126302003549368
mice,200,2.09389468721508,0.667232849044784,0.7507051439714274,0.9753211353981271,0.3955192919952718,0.36699217765345,1.6483609826598202,2.1055105544278425,1.339680994136588,0.9283447311272973,1.001675520267724,1.023825727274052,1.34486225097032,1.126302003549368
