imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum)
mean,0,24.763844592420227,10.286415041467182,3.8256553744303847,5.161932294354764,68.48393651097193,26.251463655518293,0.032613143715947784,1.970579357009696,0.3307675639286599,0.824902019656118,0.8636676562015791,4.199199552960302,1.7398719116724934
knn,3,30.643051629246397,13.966522818377127,4.966849788837186,6.682460130301824,93.65739988207359,24.595030770296066,0.04551552952267165,2.935561086716272,0.4528876660638647,0.687753315294299,1.299238777797263,5.049342600910715,2.3990708614438208
knn,5,28.331949451691962,12.291780733709746,4.389302760996704,5.949530743212568,82.08037481474399,24.704622168145534,0.040911562469385356,2.6266752461431877,0.4013739862840363,0.6233438995734077,1.142681128129857,4.625251035012168,2.101806873275223
knn,10,25.430039903953265,10.876199090166525,3.8964810905678093,5.372858638808,75.30094659846058,24.740229910081013,0.03664983780977875,2.3424502804367404,0.35091016889695514,0.5685708857020332,1.0136345649369523,4.263405267273177,1.8851443147344298
knn,15,24.330716620871186,10.43962847472718,3.7451041153985094,5.198936476141954,72.66212331277589,24.517539157392836,0.03532221972270528,2.2305008824791117,0.33492101558628656,0.5459612457973113,0.9757945797189184,4.118771454815955,1.8018808195409368
knn,20,23.674823823551257,10.113539004787654,3.6363569370689386,5.13159786043466,71.77492111679496,24.41770603911327,0.034596005232875045,2.1761951364038166,0.3262938502956924,0.5367623527049756,0.9542526358903892,3.993368762596015,1.760705073916091
mice,20,28.303104850049188,12.98414688503267,5.004892069033593,6.076026304169035,78.58106112100216,23.277019658368882,0.04329684801207351,2.7093535779241145,0.41860685591509855,0.8047038054037455,1.1673815453575211,5.046172563791854,2.0698647434416886
mice,50,28.92647061407142,13.09392173833678,5.076385562275409,6.181603540918881,79.68422067926379,22.839756977477826,0.04332671788969759,2.7965847778576625,0.43159411084724186,0.792848082367887,1.2051936035273905,5.50511786745509,2.11638930454807
mice,100,29.267150688156832,13.276450208551909,5.108868349599522,6.2536071935144175,80.57079728590965,22.641326237138422,0.043470050939872905,2.847325213749905,0.44073330710484343,0.7914991292609933,1.2679751647188906,5.96193946528532,2.149655216723421
mice,200,29.3224231074113,13.545364481559739,5.111884444790992,6.274598451004247,81.05448281472322,22.66191605131551,0.043539456971527835,2.8550839584866905,0.44357858585816395,0.7927409189742943,1.309699562807491,6.161225867456966,2.159723232956613
