imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum)
mean,0,23.6012903843371,16.161804098008975,5.04944903850193,7.67649218190746,110.63935798270053,22.516599792704916,0.05471674185906066,3.208952527198384,0.5101162030470688,0.7404321782252018,1.476681839688133,5.477361785409504,2.9058520490957096
knn,3,27.49435444280805,18.00245881485124,5.865079365079365,9.313162970106076,117.59645717058966,22.79645424836601,0.06236409505208343,3.76845826303527,0.585705003248863,0.8212084248190615,1.7042932747109591,6.2890017002671845,3.335102533172497
knn,5,26.117378497790867,17.226702729284487,5.584126984126985,8.714946962391513,113.08541616112593,22.710343137254906,0.059259277343750076,3.570739937334298,0.552724171539961,0.7745742864113199,1.6100981924767954,6.023249939276172,3.1518938480096503
knn,10,24.681516936671574,16.376493730022133,5.3065897065897065,8.189778206364512,109.15959718514924,22.622926470588236,0.05645605468750005,3.406290672451193,0.5247222222222222,0.7397023664308368,1.5405246702491449,5.728532912314792,2.9687816646562126
knn,15,24.105972835869743,16.151610523727566,5.191229757896424,7.995258759241402,107.99886758877295,22.382460784313725,0.05546370442708336,3.3363541415602156,0.5151949317738791,0.723272342847849,1.5216253053248656,5.639768439802445,2.921737032569361
knn,20,23.87238586156112,16.041812146545364,5.133670033670034,7.901591128254581,107.34199223489443,22.312742647058823,0.05513073730468754,3.2890455531453364,0.5088060428849903,0.7181995608685047,1.5040153883732292,5.582922030604809,2.889806996381182
mice,20,30.084371816013785,16.33950582796966,5.24118924274726,7.711097847069595,102.87375301987151,21.2047035632598,0.05303978789615474,3.6484291322077547,0.49130270506836743,0.7882927317326185,1.5468770812757864,5.896235292730644,2.729064314294332
mice,50,30.084371816013785,16.33950582796966,5.24118924274726,7.711097847069595,102.87375301987151,21.2047035632598,0.05303978789615474,3.6484291322077547,0.49130270506836743,0.7882927317326185,1.5468770812757864,5.896235292730644,2.729064314294332
mice,100,30.084371816013785,16.33950582796966,5.24118924274726,7.711097847069595,102.87375301987151,21.2047035632598,0.05303978789615474,3.6484291322077547,0.49130270506836743,0.7882927317326185,1.5468770812757864,5.896235292730644,2.729064314294332
mice,200,30.084371816013785,16.33950582796966,5.24118924274726,7.711097847069595,102.87375301987151,21.2047035632598,0.05303978789615474,3.6484291322077547,0.49130270506836743,0.7882927317326185,1.5468770812757864,5.896235292730644,2.729064314294332
