imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum)
mean,0,94.6117402735332,38.40246664167456,14.771136494318624,22.742187678280406,126.4065114297761,22.287331958890253,0.09291857499601504,8.697321418023163,1.4103308500615068,2.388202664236186,3.086420795026436,16.40999327816343,6.005151576471555
knn,3,94.4064207650273,35.72231496939343,14.112280701754388,21.5337552742616,112.58045977011493,18.043083900226755,0.08537931034482754,8.814118629908103,1.341041886659627,2.2708545146453645,2.9957075788061704,16.11416335540839,5.945205479452055
knn,5,94.15983606557377,35.52821368948247,14.118496240601504,21.524050632911393,110.16620689655171,17.441496598639457,0.08280459770114938,8.739348370927322,1.334128827877508,2.2744081336238198,2.954889336016097,16.05180927152318,5.84566210045662
knn,10,93.98186475409837,35.09348914858097,14.10330827067669,21.443417721518987,108.07931034482759,16.485034013605443,0.0827080459770115,8.677694235588975,1.3320696937697993,2.278191721132898,2.9351911468812877,16.00314701986755,5.804109589041095
knn,15,94.01290983606557,35.162381747356704,14.09654135338346,21.429451476793247,106.6848275862069,17.02403628117914,0.08259463601532568,8.68329156223893,1.3345723336853221,2.286502057613169,2.94952380952381,16.002018543046358,5.765144596651446
knn,20,94.05189549180328,35.3677796327212,14.12248120300752,21.38639240506329,106.08586206896553,17.101360544217687,0.08245632183908047,8.677192982456143,1.3386694825765575,2.2938525780682646,2.954899396378269,15.986123178807949,5.718721461187215
mice,20,94.09042610974792,34.55809634828434,13.866954149383826,20.034392887096235,102.37630117273112,17.780941980287075,0.07326478799958895,8.64012669446177,1.29885704158659,2.261390094778102,2.875633960432389,15.80070893702703,5.167696959975317
mice,50,94.09042610974792,34.55809634828434,13.866954149383826,20.034392887096235,102.37630117273112,17.780941980287075,0.07326478799958895,8.64012669446177,1.29885704158659,2.261390094778102,2.875633960432389,15.80070893702703,5.167696959975317
mice,100,94.09042610974792,34.55809634828434,13.866954149383826,20.034392887096235,102.37630117273112,17.780941980287075,0.07326478799958895,8.64012669446177,1.29885704158659,2.261390094778102,2.875633960432389,15.80070893702703,5.167696959975317
mice,200,94.09042610974792,34.55809634828434,13.866954149383826,20.034392887096235,102.37630117273112,17.780941980287075,0.07326478799958895,8.64012669446177,1.29885704158659,2.261390094778102,2.875633960432389,15.80070893702703,5.167696959975317
