imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum),average_normalised_mae
mean,0,4.845718173219864,1.5293199950257248,2.0279358101530134,2.193591218940201,0.5970539535727061,0.4536647947431707,1.161970266455256,2.3213746426924873,2.1756769304835477,4.175345570332078,1.3924571732887432,2.154754408087043,1.4192834154351397,2.0344727963406903
knn,3,4.829020398062714,1.4092510910406313,1.939102564102564,2.065072209700309,0.5166245478420297,0.3944497607655502,1.0630751964085312,2.392346703550023,2.0516990833892232,3.963346987540537,1.3471556642216789,2.1337121009094,1.389080459770115,1.961072059023331
knn,5,4.821179340333016,1.39294265910523,1.9174786324786324,2.052917605810168,0.5021300091316444,0.3983923444976077,1.0423569023569044,2.362378976486861,2.0558685446009384,3.970737327188941,1.336528117359413,2.1189330188847806,1.3794252873563217,1.9500975973531127
knn,10,4.812954714179659,1.3927536231884057,1.9239529914529916,2.0565489606811918,0.47517466924334767,0.383732057416268,1.0218518518518538,2.329495159059475,2.0485915492957747,3.9817716333845374,1.3364919315403425,2.106546604491612,1.3542528735632182,1.9403168168729754
knn,15,4.816502280199385,1.4006581250437582,1.922792022792023,2.0603389264546292,0.4730120976590428,0.38178628389154695,1.014747474747476,2.321369294605809,2.0523362396601827,3.9952124935995914,1.334913121434393,2.1024509120794708,1.338045977011494,1.939551173013754
knn,20,4.814622441404178,1.4052439963593082,1.9277457264957265,2.0552654645629853,0.4638259466117353,0.38626315789473686,1.0127946127946144,2.3147994467496544,2.0612089201877923,4.004691500256018,1.331765281173594,2.101583141269587,1.3460919540229885,1.94045396844484
mice,20,4.818774964471421,1.384725918070089,1.905949372615308,1.930525234542287,0.45192590662777765,0.40916923455871634,0.9172905988002121,2.3074174103465297,2.0010550174263857,3.9597978940940437,1.2992988760641662,2.072267522278206,1.2227103735467602,1.8985314094955315
mice,50,4.818774964471421,1.384725918070089,1.905949372615308,1.930525234542287,0.45192590662777765,0.40916923455871634,0.9172905988002121,2.3074174103465297,2.0010550174263857,3.9597978940940437,1.2992988760641662,2.072267522278206,1.2227103735467602,1.8985314094955315
mice,100,4.818774964471421,1.384725918070089,1.905949372615308,1.930525234542287,0.45192590662777765,0.40916923455871634,0.9172905988002121,2.3074174103465297,2.0010550174263857,3.9597978940940437,1.2992988760641662,2.072267522278206,1.2227103735467602,1.8985314094955315
mice,200,4.818774964471421,1.384725918070089,1.905949372615308,1.930525234542287,0.45192590662777765,0.40916923455871634,0.9172905988002121,2.3074174103465297,2.0010550174263857,3.9597978940940437,1.2992988760641662,2.072267522278206,1.2227103735467602,1.8985314094955315
