imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum)
mean,0,60.79726396099242,11.291256887417047,4.865675134567153,6.0540172111081905,68.76936066076932,38.36802795395398,0.033172523463414615,1.9992559366008509,0.3908261558285704,1.8391836086501576,0.8780079148398248,5.47347242947417,1.9005282494425455
knn,3,65.97639237057221,16.986340914120294,6.839816128013592,9.140851866150257,100.03691287890328,37.63942778820825,0.05831572434639618,4.0441192788263685,0.5895483520718535,1.5749526563115972,1.4982516785691435,7.024752698571843,3.129379959111886
knn,5,62.60748372293131,14.67370027045947,6.061227398803194,7.940126743437183,86.56663024293545,37.52033228019338,0.04997092173864532,3.4196178543249447,0.5077830280788587,1.5338487538246217,1.2881562524421282,6.28998513455346,2.6704867711648816
knn,10,60.030415029399116,12.76617622746494,5.2844794575792315,6.911947359233701,75.75215160667244,37.46608835991545,0.04307450739601592,2.797921601859461,0.4292138511961966,1.4861504347447043,1.0999252554036287,5.6156778463065775,2.2523896906161656
knn,15,59.148035374539894,11.91372792776037,4.981933572440096,6.4374716787339255,72.23691287890328,37.53778580612744,0.0407274109333816,2.5854736509499716,0.4041905003497285,1.482182578655055,1.027096693376646,5.415716585636845,2.107759605025826
knn,20,58.810502509680205,11.48727749090073,4.8010465494571575,6.246669581455922,70.55061297483716,37.66091739630236,0.039476897834262926,2.4588354743117935,0.38513591774610906,1.474364825779797,0.9951009710995814,5.312459855498961,2.028031618157495
mice,20,63.807656568978885,12.584905507262672,6.103579814182325,6.568376946395966,71.84797441289605,34.57989088966011,0.044303453145898425,2.9643476070035133,0.4511824562415189,1.751938891660745,0.9642431323330664,5.828739408727927,1.9497865361217193
mice,50,63.807656568978885,12.584905507262672,6.103579814182325,6.568376946395966,71.84797441289605,34.57989088966011,0.044303453145898425,2.9643476070035133,0.4511824562415189,1.751938891660745,0.9642431323330664,5.828739408727927,1.9497865361217193
mice,100,63.807656568978885,12.584905507262672,6.103579814182325,6.568376946395966,71.84797441289605,34.57989088966011,0.044303453145898425,2.9643476070035133,0.4511824562415189,1.751938891660745,0.9642431323330664,5.828739408727927,1.9497865361217193
mice,200,63.807656568978885,12.584905507262672,6.103579814182325,6.568376946395966,71.84797441289605,34.57989088966011,0.044303453145898425,2.9643476070035133,0.4511824562415189,1.751938891660745,0.9642431323330664,5.828739408727927,1.9497865361217193
