imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum),average_normalised_mae
mean,0,1.1146271040340143,0.5963093213897428,0.6318098291861179,0.6981507965466223,0.5040753057379832,0.44970314215189794,0.6073517988653246,0.7939769124789999,0.7249280199486274,1.2349489206779483,0.5927058187395549,0.6754755288830356,0.5735641689100055,0.7075097436576827
knn,3,1.4073576194888484,0.6665850042326739,0.7353422453437355,0.8288324910075413,0.5371858487739896,0.4377330990549648,0.6970791912377217,0.9545945361759558,0.8491481446986276,1.5269187933372868,0.690766163145949,0.8098651910822029,0.6591423948220065,0.830811594030885
knn,5,1.323468799433506,0.6335382784518657,0.6969952197654566,0.7820464327300404,0.5129846517646011,0.43351349937892636,0.6587659763975608,0.8940604373589758,0.8062305988792574,1.460300714702416,0.6484066882998936,0.7607528456152791,0.6246324549237171,0.7873612767462688
knn,10,1.2419712567911239,0.6065111649078984,0.6631833861699313,0.7362203761460375,0.49903818574679243,0.43569433936504226,0.6240468432353139,0.846435176398642,0.7612833480414766,1.334471316999658,0.6193247782266972,0.7210323784264502,0.5938765603328711,0.744853008522149
knn,15,1.1991444006945366,0.5962391758344111,0.6483236588495328,0.7226448725949838,0.49269960248410255,0.4375202100118085,0.6131315310026363,0.8259932835663523,0.7472193870965427,1.2925417890809752,0.6105147398858118,0.7039528812461685,0.5821382339343505,0.7286202897140163
knn,20,1.1768905150408244,0.5913192573564401,0.6424429124765212,0.7142210429608853,0.4886825487121631,0.439206835026271,0.6073355040090045,0.8165421701355939,0.7380724755082757,1.2810356572713624,0.6064422407571957,0.6942789887199596,0.5775693481276005,0.7210799612386227
mice,20,1.1715137239566504,0.6043439081494597,0.634348622113115,0.6833404493769044,0.4922736888717939,0.4348233865180763,0.6179678041116357,0.8199475748251457,0.7395446369882143,1.1784002394860171,0.6116054868084648,0.7152650890824225,0.5730765440005752,0.7135731657144981
mice,50,1.1715137239566504,0.6043439081494597,0.634348622113115,0.6833404493769044,0.4922736888717939,0.4348233865180763,0.6179678041116357,0.8199475748251457,0.7395446369882143,1.1784002394860171,0.6116054868084648,0.7152650890824225,0.5730765440005752,0.7135731657144981
mice,100,1.1715137239566504,0.6043439081494597,0.634348622113115,0.6833404493769044,0.4922736888717939,0.4348233865180763,0.6179678041116357,0.8199475748251457,0.7395446369882143,1.1784002394860171,0.6116054868084648,0.7152650890824225,0.5730765440005752,0.7135731657144981
mice,200,1.1715137239566504,0.6043439081494597,0.634348622113115,0.6833404493769044,0.4922736888717939,0.4348233865180763,0.6179678041116357,0.8199475748251457,0.7395446369882143,1.1784002394860171,0.6116054868084648,0.7152650890824225,0.5730765440005752,0.7135731657144981
