reference,timestamp,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,gen_lr,disc_lr,dropout,l2_reg,n_critic,batch_size,alpha,beta,noise_level,gen_Layers,disc_layers
raw_2,20250810_212754,0.868654291,0.002507145,0.872674643,0.001231469,0.989655172,0.003328329,0.927487338,0.0014722,0.830975312,0.01012849,0.4,1.00E-05,0.3,0.01,4,32,30,10,10,3,6
raw_2,20250810_214041,0.848806409,0.000190189,0.848806409,0.000190189,1,0,0.91822096,0.000111279,0.806438464,0.004848626,0.4,1.00E-05,0.3,0.01,3,64,20,10,10,6,4
raw_2,20250810_214927,0.848806409,0.000190189,0.848806409,0.000190189,1,0,0.91822096,0.000111279,0.7851012,0.012721545,0.0001,0.001,0.3,1.00E-05,3,128,20,10,20,4,1
raw_2,20250810_220358,0.868837274,0.002367232,0.889358577,0.002736714,0.965625,0.004500132,0.925911984,0.001434042,0.829480977,0.010578302,0.5,0.0001,0.3,0.001,3,256,10,10,5,6,2
raw_2,20250810_220703,0.848806409,0.000190189,0.848806409,0.000190189,1,0,0.91822096,0.000111279,0.817364719,0.004642232,0.2,1.00E-05,0.3,0.001,4,8,10,10,20,5,5
raw_2,20250810_233419,0.874599804,0.002705673,0.89424042,0.002696719,0.966594828,0.003356123,0.929003755,0.001538746,0.830991362,0.010761141,0.0001,0.001,0.3,0.001,3,32,40,10,5,6,5
raw_2,20250811_011253,0.848806409,0.000190189,0.848806409,0.000190189,1,0,0.91822096,0.000111279,0.821816206,0.00375376,0.3,0.0001,0.05,0.01,1,32,20,10,15,1,1
raw_2,20250811_020756,0.848806409,0.000190189,0.848806409,0.000190189,1,0,0.91822096,0.000111279,0.808728006,0.009041108,0.3,0.01,0.3,0.0001,2,8,90,10,15,4,5
raw_2,20250811_025402,0.876520368,0.00499852,0.895566365,0.003332856,0.967349138,0.005667325,0.930061857,0.002914754,0.836249124,0.010200857,0.01,0.01,0.05,0.01,1,64,50,10,10,3,6
raw_2,20250811_080823,0.8686542912854007,0.00250714541911382,0.8726746429690214,0.0012314686120797253,0.9896551724137931,0.0033283287093708036,0.9274873382094532,0.0014722003750444782,0.8309753117038706,0.010128489815914113,0.4,1e-05,0.3,0.01,4,32,30,10,10,3,6
raw_2,20250811_082705,0.8686544167878811,0.001977416947352212,0.8726036976692813,0.0012200245688964255,0.9897629310344828,0.0025271636636979844,0.9274957532245516,0.0011418702433892145,0.8309805827311557,0.009380823010995938,0.4,1e-05,0.3,0.01,4,32,30,10,10,3,6
raw_2,20250811_085139,0.8744169886851146,0.0024080263198418906,0.8925789413164298,0.0030714200082241913,0.9686422413793103,0.002691809482068275,0.9290489042842249,0.0012731490422650945,0.8287006192643173,0.011146581853344635,0.4,1e-05,0.3,0.01,3,64,20,10,10,6,4
raw_2,20250811_090054,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.7717267389161435,0.011078071568127562,0.0001,0.001,0.3,1e-05,3,128,20,10,20,4,1
raw_2,20250811_091621,0.8713064933728415,0.0032507389763843254,0.8909597240461886,0.0014892290458957706,0.9667025862068966,0.0052282368408224835,0.927277083851678,0.0020356823873199557,0.827606550122014,0.012345672209886817,0.5,0.0001,0.3,0.001,3,256,10,10,5,6,2
raw_2,20250811_091841,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.8168601349730243,0.005033379599814552,0.2,1e-05,0.3,0.001,4,8,10,10,20,5,5
raw_2,20250811_105309,0.8754233094083771,0.0033447665023106006,0.8947452562673048,0.004191982504642057,0.9670258620689655,0.0035966205319566008,0.9294690953076394,0.0017804710606373006,0.832594050792854,0.009387449641346551,0.0001,0.001,0.3,0.001,3,32,40,10,5,6,5
raw_2,20250811_124110,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.821842329594781,0.003782611661159101,0.3,0.0001,0.05,0.01,1,32,20,10,15,1,1
raw_2,20250811_133857,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.8097350102756916,0.00954909764235095,0.3,0.01,0.3,0.0001,2,8,90,10,15,4,5
raw_2,20250811_142912,0.8735019919335374,0.003364668662126901,0.893794135866095,0.002298819940143065,0.9657327586206895,0.003726641479696216,0.9283661912756773,0.0019546201398352916,0.8345073375106941,0.010469213931148013,0.01,0.01,0.05,0.01,1,64,50,10,10,3,6
raw_2,20250811_153825,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.7977312982610247,0.007914046459401757,0.0001,0.0001,0.1,0.0001,4,256,70,10,5,4,2
raw_2,20250811_154842,0.8488064086586672,0.00019018867468151575,0.8488064086586672,0.00019018867468151575,1.0,0.0,0.9182209604005823,0.00011127908292647615,0.8097350102756916,0.00954909764235095,0.5,1e-05,0.05,0.001,1,128,50,10,10,3,5
