reference,timestamp,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,gen_lr,disc_lr,dropout,l2_reg,n_critic,batch_size,alpha,beta,noise_level,gen_Layers,disc_layers
raw_10,20250814_085113,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.7779017841771412,0.014551273326380272,0.4,1e-05,0.3,0.01,4,32,30,10,10,3,6
raw_10,20250814_092008,0.9158972076638545,0.0009325889372099716,0.916855413490605,0.0008256780752936214,0.9981497954100694,0.0005466035045627927,0.9557767753527324,0.0004753772485177217,0.8212549714951471,0.005616448300384452,0.4,1e-05,0.3,0.01,3,64,20,10,10,6,4
raw_10,20250814_094123,0.9183593074976552,0.0015892073079136744,0.9294953447018506,0.0006119225457440106,0.9850560398505603,0.0018793969252793859,0.9564684089809736,0.0008810677786367392,0.8325560881300083,0.009302212889570761,0.0001,0.001,0.3,1e-05,3,128,20,10,20,4,1
raw_10,20250814_101247,0.9174522570284893,0.0012260039986071941,0.9196702272443394,0.0010127257150957536,0.9963707525351362,0.0009319196480134294,0.956484720593226,0.000636831402187385,0.828068990405687,0.005693700517953691,0.5,0.0001,0.3,0.001,3,256,10,10,5,6,2
raw_10,20250814_101729,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.8094239048690755,0.002639545172512796,0.2,1e-05,0.3,0.001,4,8,10,10,20,5,5
raw_10,20250814_115244,0.9207891760994972,0.0013562600921750041,0.9299903937184852,0.001167585482183505,0.9873332147304751,0.0011385874399573192,0.9578034460885538,0.0007156710520382343,0.8396005781705178,0.009682100516959426,0.0001,0.001,0.3,0.001,3,32,40,10,5,6,5
raw_10,20250814_140401,0.9178410784060139,0.0020796735445089477,0.9289969944431533,0.0011496004797590966,0.9850560398505603,0.001965017081869268,0.9562043187050134,0.0011305838173214229,0.8244183649481192,0.007819139805949157,0.3,0.0001,0.05,0.01,1,32,20,10,15,1,1
raw_10,20250814_153931,0.9179057980061032,0.0010855458744306263,0.9207011418921432,0.0008779345499308658,0.9955879736701656,0.000814483055844849,0.9566808758396771,0.0005639651791897512,0.8343343126904447,0.005604088459091437,0.3,0.01,0.3,0.0001,2,8,90,10,15,4,5
raw_10,20250814_165333,0.9142774177084224,0.0009709580439249787,0.9144398471169431,0.0008075244856961827,0.999359544565024,0.00028906025278906697,0.9550154827405961,0.0004942208852962592,0.8204146843710456,0.006255717677211244,0.01,0.01,0.05,0.01,1,64,50,10,10,3,6
raw_10,20250814_191659,0.915605672969704,0.0007086103365834535,0.9159333976889869,0.0007464724492556025,0.9990037359900373,0.0003101867243224172,0.9556665186947375,0.0003534110184213157,0.816080489127177,0.010770951528481038,0.0001,0.0001,0.1,0.0001,4,256,70,10,5,4,2
raw_10,20250814_214952,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.7779017841771412,0.014551273326380272,0.4,1e-05,0.3,0.01,4,32,30,10,10,3,6
raw_10,20250814_221333,0.9158972076638545,0.0009325889372099716,0.916855413490605,0.0008256780752936214,0.9981497954100694,0.0005466035045627927,0.9557767753527324,0.0004753772485177217,0.8212549714951471,0.005616448300384452,0.4,1e-05,0.3,0.01,3,64,20,10,10,6,4
raw_10,20250814_223043,0.9183593074976552,0.0015892073079136744,0.9294953447018506,0.0006119225457440106,0.9850560398505603,0.0018793969252793859,0.9564684089809736,0.0008810677786367392,0.8325560881300083,0.009302212889570761,0.0001,0.001,0.3,1e-05,3,128,20,10,20,4,1
raw_10,20250814_225523,0.9174522570284893,0.0012260039986071941,0.9196702272443394,0.0010127257150957536,0.9963707525351362,0.0009319196480134294,0.956484720593226,0.000636831402187385,0.828068990405687,0.005693700517953691,0.5,0.0001,0.3,0.001,3,256,10,10,5,6,2
raw_10,20250814_225934,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.8094239048690755,0.002639545172512796,0.2,1e-05,0.3,0.001,4,8,10,10,20,5,5
raw_10,20250815_003018,0.9207891760994972,0.0013562600921750041,0.9299903937184852,0.001167585482183505,0.9873332147304751,0.0011385874399573192,0.9578034460885538,0.0007156710520382343,0.8396005781705178,0.009682100516959426,0.0001,0.001,0.3,0.001,3,32,40,10,5,6,5
raw_10,20250815_023000,0.9178410784060139,0.0020796735445089477,0.9289969944431533,0.0011496004797590966,0.9850560398505603,0.001965017081869268,0.9562043187050134,0.0011305838173214229,0.8244183649481192,0.007819139805949157,0.3,0.0001,0.05,0.01,1,32,20,10,15,1,1
raw_10,20250815_034105,0.9179057980061032,0.0010855458744306263,0.9207011418921432,0.0008779345499308658,0.9955879736701656,0.000814483055844849,0.9566808758396771,0.0005639651791897512,0.8343343126904447,0.005604088459091437,0.3,0.01,0.3,0.0001,2,8,90,10,15,4,5
raw_10,20250815_044643,0.9142774177084224,0.0009709580439249787,0.9144398471169431,0.0008075244856961827,0.999359544565024,0.00028906025278906697,0.9550154827405961,0.0004942208852962592,0.8204146843710456,0.006255717677211244,0.01,0.01,0.05,0.01,1,64,50,10,10,3,6
raw_10,20250815_064533,0.915605672969704,0.0007086103365834535,0.9159333976889869,0.0007464724492556025,0.9990037359900373,0.0003101867243224172,0.9556665186947375,0.0003534110184213157,0.816080489127177,0.010770951528481038,0.0001,0.0001,0.1,0.0001,4,256,70,10,5,4,2
raw_10,20250815_070459,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.7690775070798163,0.014342399643146753,0.1,0.01,0.3,0.001,3,32,80,10,5,6,5
raw_10,20250815_072449,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.7839651087250139,0.009731323961939405,0.0001,0.001,0.3,1e-05,1,128,60,10,10,1,1
raw_10,20250815_075041,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.775031738666663,0.010797307174025867,0.0001,0.001,0.1,1e-05,3,32,70,10,5,3,4
raw_10,20250815_090420,0.9187805385281557,0.0008998821531641948,0.9248208460153821,0.0003031669038038652,0.9913894324853227,0.0009783118366744356,0.9569486035379235,0.0004931734680910007,0.8372206391101379,0.004628848051776604,0.3,0.01,0.3,0.0001,2,16,100,10,15,4,5
raw_10,20250815_095655,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.8052342621040272,0.0072149009705717625,0.3,0.01,0.3,0.01,2,32,90,10,15,4,5
