reference,timestamp,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,learning_rate,latent_dimensions,n_latent_samples,dropout,l2_reg,batch_size,encoder_layers_count,decoder_layers_count
raw_10,20250811_170653,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.8205946448478251,0.009995066587027939,0.0001,8,10,0.1,0.0001,64,3,3
raw_10,20250811_172119,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.7883836390844433,0.019832845746856908,0.01,32,50,0.3,0.001,64,4,1
raw_10,20250811_173406,0.9181649650286936,0.001151906467038125,0.928331201243434,0.001027852904916191,0.986265789005515,0.0009168545615886989,0.9564213353618338,0.0006016745328460468,0.8267890742065932,0.004050768720694262,0.001,16,5,0.05,0.001,256,1,3
raw_10,20250811_173751,0.9178733726100964,0.002484810798686994,0.9297781395586305,0.0014272515776468065,0.9841309375555951,0.001880743680683494,0.9561817598662676,0.0013318557823105846,0.8361193856591072,0.005828143099263061,0.001,4,50,0.1,1e-05,64,1,4
raw_10,20250811_174539,0.9196552685548542,0.0015035941177702439,0.9283847641040188,0.0013169162191079599,0.987973670165451,0.0009182343284514423,0.957252006255386,0.0007814606302284704,0.8502524279631821,0.005107619410164756,1e-05,4,20,0.2,1e-05,32,1,4
raw_10,20250811_182025,0.9198496215191699,0.002034230978464109,0.9281717604524655,0.0018710498313276563,0.9884718021704323,0.0003060781094838253,0.9573722979992427,0.001038778817855696,0.8501037174139892,0.005160283067527199,1e-05,4,30,0.3,0.0001,128,2,5
raw_10,20250811_183517,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.8176097919872873,0.013877549484087535,0.001,4,5,0.3,0.0001,256,2,3
raw_10,20250811_183907,0.9164479776003958,0.000902165827629696,0.9174471521665233,0.000895082460932096,0.9980430528375732,0.0001948843826739845,0.956049252285816,0.0004506110954509045,0.8289851948053814,0.007059236362003335,0.0001,4,5,0.2,0.001,32,4,1
raw_10,20250811_185231,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.7904728198317257,0.016839927695651645,0.001,32,40,0.2,0.0001,64,2,5
raw_10,20250811_190020,0.9105193305790376,7.225306987360846e-05,0.9105193305790376,7.225306987360846e-05,1.0,0.0,0.9531642151695099,3.959042219740875e-05,0.8311137360661748,0.00644317327931188,0.01,8,10,0.2,1e-05,256,5,4
raw_10,20250811_190438,0.9130463179385908,0.0005325452873468329,0.9130410377033146,0.0005504190082958565,0.9997153531400107,0.0001814274866960452,0.9544143006660424,0.00026588622920862296,0.8168962679623034,0.009593989420323912,0.01,8,40,0.3,0.001,64,5,1
raw_10,20250811_191642,0.9181649335426318,0.0015735479891304045,0.9283878658296396,0.0008402794758620415,0.9861946272905178,0.0014696229445339407,0.9564178951717771,0.0008514739157474662,0.8376577231984873,0.006406395767763406,0.001,8,5,0.3,0.001,128,3,4
raw_10,20250811_192150,0.9148929439787917,0.0008217262086457827,0.9153583287020766,0.0009636233018481059,0.9988969934175413,0.00037989959978759654,0.9553043866372957,0.0004032134707076146,0.8360314810465027,0.00982210626016434,0.0001,4,5,0.3,1e-05,128,3,2
