reference,timestamp,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,gen_lr,disc_lr,dropout,l2_reg,n_critic,batch_size,alpha,beta,noise_level,gen_Layers,disc_layers
raw_5,20250812_022046,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.7636216885261127,0.014072654353230936,0.4,1e-05,0.3,0.01,4,32,30,10,10,3,6
raw_5,20250812_025031,0.9185615899248727,0.0021407639433802285,0.9272737903966851,0.0018281056244524273,0.9880219316225597,0.002164173558199708,0.9566816926362491,0.0011421212428954293,0.8377408383705129,0.005078208076845265,0.4,1e-05,0.3,0.01,3,64,20,10,10,6,4
raw_5,20250812_031738,0.9131969806770446,0.00048220870612900464,0.9132793349757085,0.0004155543768217725,0.9995436973155561,0.00022813929602721718,0.9544662797587359,0.00024482761892391774,0.8228699487279523,0.003240746717822387,0.0001,0.001,0.3,1e-05,3,128,20,10,20,4,1
raw_5,20250812_035447,0.9174540839701354,0.0021740323055690937,0.9274331325122256,0.0016391936444718576,0.9865008961642434,0.0017505577790699813,0.9560539392991381,0.0011548912396481413,0.82004000702259,0.0035389516785286493,0.5,0.0001,0.3,0.001,3,256,10,10,5,6,2
raw_5,20250812_035904,0.9175925641418653,0.002233495927895637,0.9273833646280412,0.001771852072593635,0.9867290764266509,0.0019622289637963954,0.9561340812414238,0.0011885622831512377,0.8170814132040258,0.0026995819393887868,0.2,1e-05,0.3,0.001,4,8,10,10,20,5,5
raw_5,20250812_091846,0.9193230392013287,0.002651909837674577,0.9280612945860623,0.0015246597556608506,0.9879459004552759,0.0026329913593907887,0.9570652929767304,0.0014418331571537397,0.8344465906676793,0.005288130970425381,0.0001,0.001,0.3,0.001,3,32,40,10,5,6,5
raw_5,20250812_150624,0.9173848977909118,0.0030677462998788645,0.9280703015895402,0.0017475909288004157,0.9856264003695999,0.0026950635556949026,0.9559804836964382,0.0016588471788385585,0.8257285764501401,0.006237003308305394,0.4,1e-05,0.3,0.01,4,32,30,10,10,3,6
raw_5,20250812_153453,0.9174886920338144,0.0022536667110730872,0.9281724116791787,0.0020240560557243797,0.9856263208390903,0.001620086775109283,0.9560348170930213,0.0011786685634192426,0.8255087648549224,0.004618661931796121,0.4,1e-05,0.3,0.01,3,64,20,10,10,6,4
raw_5,20250812_155313,0.9192885688990664,0.0029762757002469165,0.9291332865054004,0.0019008315753428694,0.9865770430122686,0.0027639431972773226,0.9569909081618233,0.0016085518684433914,0.8378639004807498,0.004824101135417218,0.0001,0.001,0.3,1e-05,3,128,20,10,20,4,1
raw_5,20250812_162111,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.7966900734750046,0.008299340966511564,0.5,0.0001,0.3,0.001,3,256,10,10,5,6,2
raw_5,20250812_162551,0.9182501113621363,0.002330378698020091,0.9269117267670444,0.0012861758791005806,0.9880979772499362,0.0021359325107348816,0.9565259194629292,0.0012610861821407368,0.8362196755017847,0.0076114778803094375,0.2,1e-05,0.3,0.001,4,8,10,10,20,5,5
raw_5,20250812_192503,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.7768587778647571,0.009928440178113,0.0001,0.001,0.3,0.001,3,32,40,10,5,6,5
raw_5,20250812_212710,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.8062113684223308,0.011485447708619164,0.3,0.0001,0.05,0.01,1,32,20,10,15,1,1
raw_5,20250812_225631,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.8031458605303751,0.011076231793408777,0.3,0.01,0.3,0.0001,2,8,90,10,15,4,5
raw_5,20250813_013430,0.9195307594589235,0.0019145641734846946,0.9268895682094429,0.0018888081780194354,0.9896570789022187,0.0013089597039223164,0.9572436539394085,0.0009885166972517408,0.8320829738910224,0.005882013180241807,0.01,0.01,0.05,0.01,1,64,50,10,10,3,6
raw_5,20250813_035047,0.9181116431696601,0.0014460779580235546,0.9209831808494178,0.0010796567519926945,0.9954369297752829,0.0004956793702326426,0.9567635601192654,0.0007464638255519261,0.830166987727392,0.005255355113952078,0.0001,0.0001,0.1,0.0001,4,256,70,10,5,4,2
raw_5,20250813_093758,0.9173848977909118,0.0030677462998788645,0.9280703015895402,0.0017475909288004157,0.9856264003695999,0.0026950635556949026,0.9559804836964382,0.0016588471788385585,0.8257285764501401,0.006237003308305394,0.4,1e-05,0.3,0.01,4,32,30,10,10,3,6
raw_5,20250813_100441,0.9174886920338144,0.0022536667110730872,0.9281724116791787,0.0020240560557243797,0.9856263208390903,0.001620086775109283,0.9560348170930213,0.0011786685634192426,0.8255087648549224,0.004618661931796121,0.4,1e-05,0.3,0.01,3,64,20,10,10,6,4
raw_5,20250813_102226,0.9192885688990664,0.0029762757002469165,0.9291332865054004,0.0019008315753428694,0.9865770430122686,0.0027639431972773226,0.9569909081618233,0.0016085518684433914,0.8378639004807498,0.004824101135417218,0.0001,0.001,0.3,1e-05,3,128,20,10,20,4,1
raw_5,20250813_104853,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.7966900734750046,0.008299340966511564,0.5,0.0001,0.3,0.001,3,256,10,10,5,6,2
raw_5,20250813_105346,0.9183540373768284,0.0038506961114162836,0.9286926244796747,0.001659856696075635,0.9860066212764357,0.0034335647212705685,0.9564892073279034,0.0020987219153832623,0.8362698720905757,0.004796952598749879,0.001,0.0001,0.1,0.0001,4,32,30,10,5,2,2
raw_5,20250813_113958,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.7741334988395421,0.01592950884029202,0.0001,0.001,0.3,0.001,3,128,20,10,20,1,1
raw_5,20250813_120218,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.8031458605303751,0.011076231793408777,0.2,0.01,0.1,0.0001,4,32,40,10,5,4,2
raw_5,20250813_122238,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.8129584734779953,0.00805083055560028,0.0001,0.001,0.3,1e-05,5,64,20,10,20,3,1
raw_5,20250813_125250,0.920880473942398,0.0017532865742232704,0.927292816174829,0.0013956965180352621,0.9907597549592696,0.001624776103515179,0.9579747873359341,0.0009323795389278648,0.8425605432761577,0.006401760101688843,0.1,0.0001,0.1,0.0001,4,32,40,10,10,2,2
raw_5,20250813_131101,0.9181809251829126,0.001404731066141894,0.9213143959971068,0.0008019266757904447,0.9950947316821355,0.0011110424837915743,0.9567839534329055,0.0007474068875927325,0.8258569384490262,0.004607334921318358,0.001,0.01,0.1,0.0001,4,32,90,10,5,2,2
raw_5,20250813_141519,0.9177655984706325,0.0016407620587169684,0.9201888123353011,0.001650433673025268,0.9960453526346649,0.0005013679844307774,0.956614639824328,0.0008247159850520958,0.8291852430552747,0.006911861434455745,0.0001,0.001,0.1,0.0001,4,512,10,10,15,2,5
raw_5,20250813_144315,0.9170041312252961,0.0015223025229674498,0.9202429291604106,0.0010740016674762388,0.9950566221078911,0.0008069317155278058,0.9561883028810954,0.0007932532200892289,0.8226254072955707,0.00796615170372394,0.0001,0.0001,0.1,0.0001,4,32,100,10,15,2,2
raw_5,20250813_161657,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.8204995520972365,0.009491600280705356,0.01,0.01,0.1,0.0001,4,256,100,10,15,2,2
raw_5,20250813_163026,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.8096991779644883,0.01013282935118157,0.1,0.001,0.3,0.01,4,256,20,10,5,4,1
raw_5,20250813_163502,0.9127470279322054,0.0003365542848972297,0.9128956955828216,0.0003550903501801707,0.9995056817319142,0.0003914730424994531,0.954239352610681,0.00017451752585782092,0.8173069485162736,0.006873696988924979,0.01,0.001,0.3,1e-05,3,128,100,10,20,4,1
raw_5,20250813_170548,0.9184577657338362,0.0011015450880183402,0.9212770436541154,0.0006120589433278286,0.9954749670490639,0.0009420643915526389,0.9569396263402883,0.000588604797240143,0.8333997976308636,0.005838874461158496,0.0001,0.01,0.1,0.0001,4,512,60,10,10,2,2
raw_5,20250813_171927,0.917696382343275,0.0022953677255790916,0.927081303551021,0.0008003689187735703,0.9872233874646902,0.0018368357152051798,0.9562072469225156,0.0012449419878696852,0.8267396853494701,0.0076256089776440715,0.3,0.01,0.1,0.0001,4,512,100,10,10,2,1
raw_5,20250813_172248,0.9188385263098251,0.0010224392120160959,0.9294060063959172,0.0009580039274655338,0.9857024459969763,0.0018004668780189452,0.9567250634019586,0.0005810012151176814,0.8389674065234379,0.005894706430328825,0.3,0.0001,0.1,0.0001,4,16,60,10,10,2,5
raw_5,20250813_202132,0.9201536806466354,0.0024237195060027097,0.9295629554503304,0.0012581145648582993,0.9870713323601692,0.0024134346448596252,0.9574525221715794,0.0013232254365469277,0.8412110571124165,0.006013824614792742,0.001,0.001,0.1,0.01,4,32,30,10,10,2,2
raw_5,20250813_210640,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.7995302308806082,0.011789731543833408,0.1,0.001,0.1,0.01,4,16,10,10,20,2,2
raw_5,20250813_214257,0.9198076119891005,0.002316377597125052,0.9298143843845501,0.0013603739240598276,0.9863488482897687,0.0016541822195692843,0.9572468641887367,0.001240073007403034,0.8381493606389923,0.005986012315773432,0.1,0.001,0.1,0.0001,4,512,90,10,10,2,3
raw_5,20250813_214843,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.7655386662021384,0.014013364655229347,0.3,0.0001,0.1,0.0001,4,32,80,10,10,2,3
raw_5,20250813_220948,0.910185857520794,7.614523769915373e-06,0.910185857520794,7.614523769915373e-06,1.0,0.0,0.9529814639987151,4.173709313637445e-06,0.812914547087685,0.011718218623157505,0.5,0.0001,0.1,0.01,4,32,40,10,5,2,2
raw_5,20250813_222720,0.9145814110374806,0.0005162200326827179,0.9148967750862784,0.0004195330207667444,0.9990873946311123,0.00022166952712378927,0.9551403794736135,0.00026349224614098156,0.8306202335231692,0.010296108780127865,0.1,1e-05,0.1,0.01,4,32,30,10,15,2,2
